tournament_id,match_id,created_at,map_name,duration,winner,telemetry
as-pcs2as,104dd947-bb1a-4140-92e8-c147a04ec966,2020-08-28 11:36:45,Erangel (Remastered),1797,Tian,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2020/08/28/12/08/34c36033-e927-11ea-96f9-ae2007969334-telemetry.json
as-pcs2as,d6b2d98b-acc6-4c71-aaa8-80bcd492c187,2020-08-28 10:47:56,Miramar,1871,iFTY,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2020/08/28/11/21/8f877d3b-e920-11ea-96f9-ae2007969334-telemetry.json
as-pcs2as,d05d3643-548c-4230-ab47-274ea60251ac,2020-08-28 09:59:53,Miramar,1831,T1,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2020/08/28/10/32/c079ac63-e919-11ea-96f9-ae2007969334-telemetry.json
as-pcs2as,009f8ac9-3d22-40c2-987e-555e87a47766,2020-08-27 10:19:46,Miramar,1736,T1,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2020/08/27/10/50/248ddfcf-e853-11ea-96f9-ae2007969334-telemetry.json
as-pcs2as,a6322ac4-ff34-4ba6-8f63-d72476750722,2020-09-08 10:42:12,Miramar,1695,T1,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2020/09/08/11/12/2c8a3b1f-f1c4-11ea-96f9-ae2007969334-telemetry.json
as-pcs2as,0fb38ab7-4f69-4fc1-897b-c29fec856116,2020-09-03 13:05:19,Miramar,1732,VLG,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2020/09/03/13/36/6cf5968b-edea-11ea-96f9-ae2007969334-telemetry.json
as-pcs2as,fda126cc-39f2-4a53-8b4a-d5d5299fd7b5,2020-09-08 12:09:31,Erangel (Remastered),1888,iFTY,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2020/09/08/12/42/d13cb7f6-f1d0-11ea-96f9-ae2007969334-telemetry.json
as-pcs2as,fa454cb8-a3a7-4097-9b35-35a9a55f6f31,2020-09-08 11:26:38,Erangel (Remastered),1827,COC,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2020/09/08/11/59/af1d891c-f1ca-11ea-96f9-ae2007969334-telemetry.json
as-pcs2as,9074f5d5-816e-4ff6-9637-a6597b4ef009,2020-09-08 10:01:59,Miramar,1622,LVG,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2020/09/08/10/30/6223d0bd-f1be-11ea-96f9-ae2007969334-telemetry.json
as-pcs2as,d2fd31f5-843b-4e55-98e2-21d79d16e3a8,2020-09-04 10:05:40,Erangel (Remastered),1754,SMG,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2020/09/04/10/36/8a455b3b-ee9a-11ea-96f9-ae2007969334-telemetry.json
